motif_id	region_id	sample_id
NKX2-2_MA1645.1	chr2:216012224-216012238	98JKPD8_lumA
NKX2-2_MA1645.1	chr9:19127639-19127653	ANAB5F7_basal
NKX2-2_MA1645.1	chr8:27740649-27740663	S6R691V_her2
NKX2-2_MA1645.1	chr6:31835283-31835297	ANAB5F7_basal
NKX2-2_MA1645.1	chr8:58993908-58993922	ANAB5F7_basal
NKX2-2_MA1645.1	chr20:8693831-8693845	ANAB5F7_basal
NKX2-2_MA1645.1	chr10:59873281-59873295	S6R691V_her2
NKX2-2_MA1645.1	chr11:34633809-34633823	S6R691V_her2
NKX2-2_MA1645.1	chr5:34673952-34673966	ANAB5F7_basal
NKX2-2_MA1645.1	chr19:46717870-46717884	98JKPD8_lumA
NKX2-2_MA1645.1	chr1:154352815-154352829	98JKPD8_lumA
NKX2-2_MA1645.1	chr3:150733960-150733974	98JKPD8_lumA
NKX2-2_MA1645.1	chr7:16814255-16814269	98JKPD8_lumA
NKX2-2_MA1645.1	chr5:74538275-74538289	98JKPD8_lumA
NKX2-2_MA1645.1	chr10:43094061-43094075	98JKPD8_lumA
