motif_id	region_id	sample_id
TAL1_TAL1_HUMAN.H11MO.0.A	chr6:153002754-153002773	ANAB5F7_basal
TAL1_TAL1_HUMAN.H11MO.0.A	chr20:45783916-45783935	ANAB5F7_basal
TAL1_TAL1_HUMAN.H11MO.0.A	chr11:121722662-121722681	ANAB5F7_basal
TAL1_TAL1_HUMAN.H11MO.0.A	chr8:138890047-138890066	2GAMBDQ_norm
TAL1_TAL1_HUMAN.H11MO.0.A	chr17:13018321-13018340	ANAB5F7_basal
TAL1_TAL1_HUMAN.H11MO.0.A	chr20:53939873-53939892	98JKPD8_lumA
TAL1_TAL1_HUMAN.H11MO.0.A	chr14:73852079-73852098	98JKPD8_lumA
TAL1_TAL1_HUMAN.H11MO.0.A	chr1:182382491-182382510	98JKPD8_lumA
TAL1_TAL1_HUMAN.H11MO.0.A	chr15:98519481-98519500	98JKPD8_lumA
TAL1_TAL1_HUMAN.H11MO.0.A	chr3:8971210-8971229	98JKPD8_lumA
