motif_id	region_id	sample_id
IRF1_M08142_2.00	chr7:80238151-80238172	S6R691V_her2
IRF1_M08142_2.00	chr1:160463073-160463094	2GAMBDQ_norm
IRF1_M08142_2.00	chr6:31272228-31272249	ANAB5F7_basal
IRF1_M08142_2.00	chr6:26199276-26199297	ANAB5F7_basal
IRF1_M08142_2.00	chr10:98960715-98960736	98JKPD8_lumA
IRF1_M08142_2.00	chr6:33289382-33289403	ANAB5F7_basal
IRF1_M08142_2.00	chr15:98799365-98799386	98JKPD8_lumA
IRF1_M08142_2.00	chr10:80688778-80688799	98JKPD8_lumA
IRF1_M08142_2.00	chr21:16420330-16420351	ANAB5F7_basal
IRF1_M08142_2.00	chr11:36035169-36035190	98JKPD8_lumA
IRF1_M08142_2.00	chr8:70217447-70217468	ANAB5F7_basal
IRF1_M08142_2.00	chr1:246805406-246805427	2GAMBDQ_norm
IRF1_M08142_2.00	chr7:131061226-131061247	98JKPD8_lumA
IRF1_M08142_2.00	chr19:40190599-40190620	ANAB5F7_basal
IRF1_M08142_2.00	chr14:84124900-84124921	2GAMBDQ_norm
IRF1_M08142_2.00	chr8:58234618-58234639	ANAB5F7_basal
IRF1_M08142_2.00	chr10:6298366-6298387	98JKPD8_lumA
IRF1_M08142_2.00	chr5:40835462-40835483	ANAB5F7_basal
IRF1_M08142_2.00	chr6:1725035-1725056	ANAB5F7_basal
IRF1_M08142_2.00	chr14:73886490-73886511	98JKPD8_lumA
IRF1_M08142_2.00	chr7:8151047-8151068	ANAB5F7_basal
IRF1_M08142_2.00	chr7:97005013-97005034	ANAB5F7_basal
IRF1_M08142_2.00	chr15:78930565-78930586	98JKPD8_lumA
IRF1_M08142_2.00	chr9:97062397-97062418	ANAB5F7_basal
IRF1_M08142_2.00	chr6:4313488-4313509	ANAB5F7_basal
IRF1_M08142_2.00	chr17:57604170-57604191	S6R691V_her2
IRF1_M08142_2.00	chr10:9066354-9066375	98JKPD8_lumA
IRF1_M08142_2.00	chr2:175770878-175770899	98JKPD8_lumA
IRF1_M08142_2.00	chr2:160352025-160352046	ANAB5F7_basal
IRF1_M08142_2.00	chr20:48227519-48227540	98JKPD8_lumA
IRF1_M08142_2.00	chr20:11767078-11767099	ANAB5F7_basal
IRF1_M08142_2.00	chr16:25045233-25045254	98JKPD8_lumA
IRF1_M08142_2.00	chr6:27894139-27894160	ANAB5F7_basal
IRF1_M08142_2.00	chr16:50147342-50147363	ANAB5F7_basal
IRF1_M08142_2.00	chr15:74791928-74791949	S6R691V_her2
IRF1_M08142_2.00	chr7:36295178-36295199	98JKPD8_lumA
IRF1_M08142_2.00	chr8:94934145-94934166	PU24GB8_lumB
IRF1_M08142_2.00	chr2:215311580-215311601	ANAB5F7_basal
IRF1_M08142_2.00	chr10:61937851-61937872	98JKPD8_lumA
IRF1_M08142_2.00	chr1:161530555-161530576	98JKPD8_lumA
IRF1_M08142_2.00	chr11:37427336-37427357	98JKPD8_lumA
IRF1_M08142_2.00	chr13:106533098-106533119	98JKPD8_lumA
IRF1_M08142_2.00	chr11:114167226-114167247	2GAMBDQ_norm
IRF1_M08142_2.00	chr8:80010733-80010754	ANAB5F7_basal
IRF1_M08142_2.00	chr8:117972175-117972196	98JKPD8_lumA
IRF1_M08142_2.00	chr5:134175927-134175948	98JKPD8_lumA
IRF1_M08142_2.00	chr17:11279799-11279820	98JKPD8_lumA
