motif_id	region_id	sample_id
TCF7_TCF7_HUMAN.H11MO.0.A	chr2:46969985-46970001	ANAB5F7_basal
TCF7_TCF7_HUMAN.H11MO.0.A	chr12:1562856-1562872	ANAB5F7_basal
TCF7_TCF7_HUMAN.H11MO.0.A	chr19:40190601-40190617	ANAB5F7_basal
TCF7_TCF7_HUMAN.H11MO.0.A	chr1:155978075-155978091	98JKPD8_lumA
TCF7_TCF7_HUMAN.H11MO.0.A	chr21:14712229-14712245	S6R691V_her2
TCF7_TCF7_HUMAN.H11MO.0.A	chr6:27894131-27894147	ANAB5F7_basal
TCF7_TCF7_HUMAN.H11MO.0.A	chr5:173953582-173953598	PU24GB8_lumB
TCF7_TCF7_HUMAN.H11MO.0.A	chr9:5436453-5436469	98JKPD8_lumA
TCF7_TCF7_HUMAN.H11MO.0.A	chr7:30556840-30556856	98JKPD8_lumA
TCF7_TCF7_HUMAN.H11MO.0.A	chr6:158081555-158081571	98JKPD8_lumA
TCF7_TCF7_HUMAN.H11MO.0.A	chr2:156399868-156399884	98JKPD8_lumA
TCF7_TCF7_HUMAN.H11MO.0.A	chr17:50855833-50855849	98JKPD8_lumA
TCF7_TCF7_HUMAN.H11MO.0.A	chr7:149939547-149939563	2GAMBDQ_norm
TCF7_TCF7_HUMAN.H11MO.0.A	chrX:23786744-23786760	ANAB5F7_basal
TCF7_TCF7_HUMAN.H11MO.0.A	chr3:15794581-15794597	98JKPD8_lumA
TCF7_TCF7_HUMAN.H11MO.0.A	chr12:123601530-123601546	98JKPD8_lumA
TCF7_TCF7_HUMAN.H11MO.0.A	chr5:173707025-173707041	98JKPD8_lumA
TCF7_TCF7_HUMAN.H11MO.0.A	chr21:39851971-39851987	S6R691V_her2
TCF7_TCF7_HUMAN.H11MO.0.A	chr7:140973594-140973610	PU24GB8_lumB
