motif_id	region_id	sample_id
SREBF1_MA0829.2	chr2:45650228-45650242	98JKPD8_lumA
SREBF1_MA0829.2	chr11:7598019-7598033	98JKPD8_lumA
SREBF1_MA0829.2	chr9:114621940-114621954	98JKPD8_lumA
SREBF1_MA0829.2	chr10:116263077-116263091	2GAMBDQ_norm
SREBF1_MA0829.2	chr1:27115867-27115881	98JKPD8_lumA
SREBF1_MA0829.2	chrX:23667294-23667308	PU24GB8_lumB
SREBF1_MA0829.2	chr10:2392387-2392401	98JKPD8_lumA
SREBF1_MA0829.2	chr19:45823924-45823938	98JKPD8_lumA
SREBF1_MA0829.2	chr5:54664186-54664200	ANAB5F7_basal
SREBF1_MA0829.2	chr13:72187502-72187516	98JKPD8_lumA
SREBF1_MA0829.2	chr2:176816426-176816440	98JKPD8_lumA
