motif_id	region_id	sample_id
THA11_THA11_HUMAN.H11MO.0.B	chr18:8990704-8990726	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr1:224356824-224356846	ANAB5F7_basal
THA11_THA11_HUMAN.H11MO.0.B	chr1:36486826-36486848	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr15:78944821-78944843	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr9:136903446-136903468	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr13:89702347-89702369	2GAMBDQ_norm
THA11_THA11_HUMAN.H11MO.0.B	chr16:72008535-72008557	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr19:44072128-44072150	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr6:37516997-37517019	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr10:22599018-22599040	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr16:67246317-67246339	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr2:2613643-2613665	ANAB5F7_basal
THA11_THA11_HUMAN.H11MO.0.B	chr14:49634636-49634658	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr11:35352441-35352463	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr4:123398385-123398407	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr18:24431416-24431438	2GAMBDQ_norm
THA11_THA11_HUMAN.H11MO.0.B	chr13:71865269-71865291	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr1:23442858-23442880	ANAB5F7_basal
THA11_THA11_HUMAN.H11MO.0.B	chr7:64307207-64307229	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr3:11591719-11591741	ANAB5F7_basal
THA11_THA11_HUMAN.H11MO.0.B	chr22:49966807-49966829	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr1:246166565-246166587	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr17:1203392-1203414	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr6:53796429-53796451	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr7:131057929-131057951	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr19:43439327-43439349	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr17:76736998-76737020	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr20:50790658-50790680	S6R691V_her2
THA11_THA11_HUMAN.H11MO.0.B	chr15:88624871-88624893	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr22:20157133-20157155	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr9:132406946-132406968	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr4:156615091-156615113	2GAMBDQ_norm
THA11_THA11_HUMAN.H11MO.0.B	chr6:79878426-79878448	ANAB5F7_basal
THA11_THA11_HUMAN.H11MO.0.B	chr1:67479499-67479521	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr3:72446618-72446640	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr16:88639378-88639400	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr15:70024794-70024816	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr19:44072698-44072720	98JKPD8_lumA
THA11_THA11_HUMAN.H11MO.0.B	chr8:56752459-56752481	ANAB5F7_basal
THA11_THA11_HUMAN.H11MO.0.B	chr7:97975315-97975337	ANAB5F7_basal
THA11_THA11_HUMAN.H11MO.0.B	chr3:74119445-74119467	98JKPD8_lumA
