motif_id	region_id	sample_id
ZEB1_M07842_2.00	chr13:44108525-44108533	98JKPD8_lumA
ZEB1_M07842_2.00	chr14:100156819-100156827	98JKPD8_lumA
ZEB1_M07842_2.00	chr16:56344695-56344703	98JKPD8_lumA
ZEB1_M07842_2.00	chr8:37460621-37460629	98JKPD8_lumA
ZEB1_M07842_2.00	chr16:50100094-50100102	S6R691V_her2
ZEB1_M07842_2.00	chr1:33877144-33877152	ANAB5F7_basal
ZEB1_M07842_2.00	chr5:34523288-34523296	ANAB5F7_basal
ZEB1_M07842_2.00	chr14:55547166-55547174	S6R691V_her2
ZEB1_M07842_2.00	chr12:112926968-112926976	98JKPD8_lumA
ZEB1_M07842_2.00	chr13:28035702-28035710	98JKPD8_lumA
