motif_id	region_id	sample_id
ZIM3_M08312_2.00	chr6:43753580-43753598	2GAMBDQ_norm
ZIM3_M08312_2.00	chr4:43526375-43526393	2GAMBDQ_norm
ZIM3_M08312_2.00	chr10:37976845-37976863	ANAB5F7_basal
ZIM3_M08312_2.00	chr1:246805406-246805424	2GAMBDQ_norm
ZIM3_M08312_2.00	chr21:16420330-16420348	ANAB5F7_basal
ZIM3_M08312_2.00	chr16:8797450-8797468	98JKPD8_lumA
ZIM3_M08312_2.00	chr3:28788770-28788788	2GAMBDQ_norm
ZIM3_M08312_2.00	chr6:31717868-31717886	98JKPD8_lumA
ZIM3_M08312_2.00	chr16:4179132-4179150	ANAB5F7_basal
ZIM3_M08312_2.00	chr8:133357131-133357149	ANAB5F7_basal
ZIM3_M08312_2.00	chr6:83008776-83008794	2GAMBDQ_norm
ZIM3_M08312_2.00	chr8:18562922-18562940	98JKPD8_lumA
ZIM3_M08312_2.00	chr10:118967175-118967193	S6R691V_her2
ZIM3_M08312_2.00	chr8:117972186-117972204	98JKPD8_lumA
ZIM3_M08312_2.00	chr11:57749121-57749139	2GAMBDQ_norm
ZIM3_M08312_2.00	chr5:16275780-16275798	S6R691V_her2
ZIM3_M08312_2.00	chr15:44456856-44456874	98JKPD8_lumA
ZIM3_M08312_2.00	chr7:55086942-55086960	ANAB5F7_basal
ZIM3_M08312_2.00	chr20:45880887-45880905	PU24GB8_lumB
ZIM3_M08312_2.00	chr9:90014319-90014337	ANAB5F7_basal
ZIM3_M08312_2.00	chr11:78802697-78802715	98JKPD8_lumA
ZIM3_M08312_2.00	chr8:80010736-80010754	ANAB5F7_basal
ZIM3_M08312_2.00	chr8:17674931-17674949	S6R691V_her2
ZIM3_M08312_2.00	chr9:107385897-107385915	2GAMBDQ_norm
ZIM3_M08312_2.00	chr15:65530179-65530197	98JKPD8_lumA
ZIM3_M08312_2.00	chr14:23183497-23183515	98JKPD8_lumA
ZIM3_M08312_2.00	chr5:35305471-35305489	ANAB5F7_basal
ZIM3_M08312_2.00	chr11:8787330-8787348	PU24GB8_lumB
ZIM3_M08312_2.00	chr11:75723260-75723278	ANAB5F7_basal
ZIM3_M08312_2.00	chr4:159526246-159526264	S6R691V_her2
ZIM3_M08312_2.00	chr11:62856817-62856835	ANAB5F7_basal
