motif_id	region_id	sample_id
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr12:121812707-121812720	98JKPD8_lumA
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr13:44108528-44108541	98JKPD8_lumA
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr15:63382092-63382105	98JKPD8_lumA
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr11:69485652-69485665	PU24GB8_lumB
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr1:63981283-63981296	S6R691V_her2
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr6:30820410-30820423	ANAB5F7_basal
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr2:59282992-59283005	98JKPD8_lumA
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr11:843919-843932	98JKPD8_lumA
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr18:48357197-48357210	98JKPD8_lumA
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr1:225527056-225527069	98JKPD8_lumA
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr18:56704617-56704630	2GAMBDQ_norm
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr9:136555699-136555712	ANAB5F7_basal
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr1:38959807-38959820	ANAB5F7_basal
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr19:29694787-29694800	ANAB5F7_basal
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr10:4242001-4242014	2GAMBDQ_norm
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr9:76621246-76621259	98JKPD8_lumA
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr11:125591806-125591819	98JKPD8_lumA
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr6:158009824-158009837	2GAMBDQ_norm
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr15:88648469-88648482	98JKPD8_lumA
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr5:66616153-66616166	98JKPD8_lumA
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr14:55547160-55547173	S6R691V_her2
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr20:59084061-59084074	ANAB5F7_basal
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr6:3453609-3453622	98JKPD8_lumA
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr17:59627446-59627459	S6R691V_her2
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr16:85800550-85800563	98JKPD8_lumA
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr17:31571608-31571621	98JKPD8_lumA
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr2:201452530-201452543	98JKPD8_lumA
SMAD4_SMAD4_HUMAN.H11MO.0.B	chr11:2901370-2901383	98JKPD8_lumA
