motif_id	region_id	sample_id
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr6:43753581-43753600	2GAMBDQ_norm
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr4:43526376-43526395	2GAMBDQ_norm
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr13:28035259-28035278	98JKPD8_lumA
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr10:37976843-37976862	ANAB5F7_basal
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr1:246805407-246805426	2GAMBDQ_norm
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr21:16420331-16420350	ANAB5F7_basal
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr16:8797448-8797467	98JKPD8_lumA
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr7:97005016-97005035	ANAB5F7_basal
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr8:133357129-133357148	ANAB5F7_basal
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr18:74266323-74266342	S6R691V_her2
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr10:118967173-118967192	S6R691V_her2
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr8:117972184-117972203	98JKPD8_lumA
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr11:57749122-57749141	2GAMBDQ_norm
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr15:44456857-44456876	98JKPD8_lumA
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr20:45880885-45880904	PU24GB8_lumB
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr9:90014320-90014339	ANAB5F7_basal
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr3:176932626-176932645	ANAB5F7_basal
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr6:2162393-2162412	ANAB5F7_basal
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr4:16043995-16044014	98JKPD8_lumA
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr8:18562914-18562933	98JKPD8_lumA
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr9:107385898-107385917	2GAMBDQ_norm
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr18:42379143-42379162	2GAMBDQ_norm
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr12:112932608-112932627	98JKPD8_lumA
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr14:23183498-23183517	98JKPD8_lumA
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr11:102279697-102279716	ANAB5F7_basal
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr12:112926958-112926977	98JKPD8_lumA
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr12:11650487-11650506	98JKPD8_lumA
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr11:8787331-8787350	PU24GB8_lumB
ZIM3_ZIM3_HUMAN.H11MO.0.C	chr11:75723261-75723280	ANAB5F7_basal
