motif_id	region_id	sample_id
GFI1_GFI1_HUMAN.H11MO.0.C	chr6:33289377-33289387	ANAB5F7_basal
GFI1_GFI1_HUMAN.H11MO.0.C	chr21:41634493-41634503	ANAB5F7_basal
GFI1_GFI1_HUMAN.H11MO.0.C	chr19:4716380-4716390	98JKPD8_lumA
GFI1_GFI1_HUMAN.H11MO.0.C	chr19:55492637-55492647	98JKPD8_lumA
GFI1_GFI1_HUMAN.H11MO.0.C	chr2:163213706-163213716	ANAB5F7_basal
GFI1_GFI1_HUMAN.H11MO.0.C	chr1:244075348-244075358	2GAMBDQ_norm
GFI1_GFI1_HUMAN.H11MO.0.C	chr1:84433612-84433622	98JKPD8_lumA
GFI1_GFI1_HUMAN.H11MO.0.C	chr6:43799546-43799556	98JKPD8_lumA
GFI1_GFI1_HUMAN.H11MO.0.C	chr6:168514568-168514578	98JKPD8_lumA
GFI1_GFI1_HUMAN.H11MO.0.C	chr12:130261396-130261406	2GAMBDQ_norm
