motif_id	region_id	sample_id
ETV1_MA0761.2	chr9:136555100-136555114	ANAB5F7_basal
ETV1_MA0761.2	chr10:110434024-110434038	S6R691V_her2
ETV1_MA0761.2	chr19:18571682-18571696	ANAB5F7_basal
ETV1_MA0761.2	chr19:55675106-55675120	98JKPD8_lumA
ETV1_MA0761.2	chr17:7558145-7558159	98JKPD8_lumA
ETV1_MA0761.2	chr6:106547211-106547225	S6R691V_her2
ETV1_MA0761.2	chr6:34555907-34555921	98JKPD8_lumA
ETV1_MA0761.2	chr8:70217448-70217462	ANAB5F7_basal
ETV1_MA0761.2	chr19:10643719-10643733	ANAB5F7_basal
ETV1_MA0761.2	chr8:134714282-134714296	98JKPD8_lumA
ETV1_MA0761.2	chr16:68276067-68276081	98JKPD8_lumA
ETV1_MA0761.2	chr8:118620946-118620960	98JKPD8_lumA
ETV1_MA0761.2	chr19:15779803-15779817	ANAB5F7_basal
ETV1_MA0761.2	chr10:62224886-62224900	ANAB5F7_basal
ETV1_MA0761.2	chr12:55926726-55926740	ANAB5F7_basal
ETV1_MA0761.2	chr15:74791929-74791943	S6R691V_her2
ETV1_MA0761.2	chr11:39542225-39542239	S6R691V_her2
ETV1_MA0761.2	chr4:1246659-1246673	S6R691V_her2
ETV1_MA0761.2	chr14:91293509-91293523	S6R691V_her2
ETV1_MA0761.2	chr17:80025429-80025443	98JKPD8_lumA
ETV1_MA0761.2	chr19:16489130-16489144	98JKPD8_lumA
ETV1_MA0761.2	chr11:115699812-115699826	2GAMBDQ_norm
ETV1_MA0761.2	chr16:9008521-9008535	98JKPD8_lumA
ETV1_MA0761.2	chr15:33802262-33802276	ANAB5F7_basal
ETV1_MA0761.2	chr6:105727188-105727202	2GAMBDQ_norm
