motif_id	region_id	sample_id
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr19:18636870-18636892	ANAB5F7_basal
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr21:36156550-36156572	ANAB5F7_basal
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr8:142777359-142777381	ANAB5F7_basal
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr22:50276283-50276305	98JKPD8_lumA
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr19:56121394-56121416	98JKPD8_lumA
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr19:10654177-10654199	ANAB5F7_basal
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr6:152983581-152983603	ANAB5F7_basal
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr16:21502549-21502571	98JKPD8_lumA
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr19:14518473-14518495	98JKPD8_lumA
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr16:15154825-15154847	98JKPD8_lumA
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr16:15154849-15154871	98JKPD8_lumA
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr19:55654099-55654121	98JKPD8_lumA
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr16:53503256-53503278	98JKPD8_lumA
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr3:32106409-32106431	98JKPD8_lumA
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr21:39312496-39312518	PU24GB8_lumB
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr19:56121312-56121334	98JKPD8_lumA
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr15:97960864-97960886	98JKPD8_lumA
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr2:44167940-44167962	ANAB5F7_basal
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr1:32964949-32964971	ANAB5F7_basal
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr7:73827930-73827952	S6R691V_her2
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr3:155870361-155870383	ANAB5F7_basal
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr3:84548318-84548340	S6R691V_her2
PATZ1_PATZ1_HUMAN.H11MO.0.C	chr17:47987552-47987574	S6R691V_her2
