motif_id	region_id	sample_id
ZNF148_MA1653.1	chr8:142777364-142777376	ANAB5F7_basal
ZNF148_MA1653.1	chr19:55599755-55599767	S6R691V_her2
ZNF148_MA1653.1	chr19:14518474-14518486	98JKPD8_lumA
ZNF148_MA1653.1	chr19:56121319-56121331	98JKPD8_lumA
ZNF148_MA1653.1	chr2:71130276-71130288	98JKPD8_lumA
ZNF148_MA1653.1	chr1:150876593-150876605	98JKPD8_lumA
ZNF148_MA1653.1	chr21:39312493-39312505	PU24GB8_lumB
ZNF148_MA1653.1	chr3:155870372-155870384	ANAB5F7_basal
ZNF148_MA1653.1	chr6:41941774-41941786	ANAB5F7_basal
ZNF148_MA1653.1	chr9:132355265-132355277	PU24GB8_lumB
ZNF148_MA1653.1	chr16:86798816-86798828	ANAB5F7_basal
ZNF148_MA1653.1	chr17:67993850-67993862	98JKPD8_lumA
ZNF148_MA1653.1	chr11:34621170-34621182	S6R691V_her2
ZNF148_MA1653.1	chr3:195271299-195271311	ANAB5F7_basal
ZNF148_MA1653.1	chr10:69408794-69408806	98JKPD8_lumA
ZNF148_MA1653.1	chr7:22821922-22821934	ANAB5F7_basal
ZNF148_MA1653.1	chr1:1324777-1324789	98JKPD8_lumA
ZNF148_MA1653.1	chr3:3179736-3179748	98JKPD8_lumA
ZNF148_MA1653.1	chr16:57372937-57372949	ANAB5F7_basal
ZNF148_MA1653.1	chr4:56908278-56908290	98JKPD8_lumA
ZNF148_MA1653.1	chr20:32483625-32483637	98JKPD8_lumA
ZNF148_MA1653.1	chr16:1794587-1794599	98JKPD8_lumA
ZNF148_MA1653.1	chr15:93048898-93048910	ANAB5F7_basal
ZNF148_MA1653.1	chr17:17042444-17042456	98JKPD8_lumA
ZNF148_MA1653.1	chr3:136195864-136195876	98JKPD8_lumA
ZNF148_MA1653.1	chr16:1408259-1408271	98JKPD8_lumA
ZNF148_MA1653.1	chr13:71865271-71865283	98JKPD8_lumA
ZNF148_MA1653.1	chr12:9648068-9648080	ANAB5F7_basal
ZNF148_MA1653.1	chr19:35067010-35067022	ANAB5F7_basal
ZNF148_MA1653.1	chr14:94174198-94174210	98JKPD8_lumA
ZNF148_MA1653.1	chr9:136838416-136838428	S6R691V_her2
ZNF148_MA1653.1	chr12:131929171-131929183	98JKPD8_lumA
ZNF148_MA1653.1	chr1:166167027-166167039	98JKPD8_lumA
ZNF148_MA1653.1	chr5:139788170-139788182	98JKPD8_lumA
ZNF148_MA1653.1	chr14:50396992-50397004	98JKPD8_lumA
ZNF148_MA1653.1	chr10:93384130-93384142	ANAB5F7_basal
ZNF148_MA1653.1	chr3:115196007-115196019	S6R691V_her2
ZNF148_MA1653.1	chr19:55600432-55600444	S6R691V_her2
ZNF148_MA1653.1	chr7:63068411-63068423	S6R691V_her2
ZNF148_MA1653.1	chr19:33821034-33821046	ANAB5F7_basal
ZNF148_MA1653.1	chr12:108562831-108562843	98JKPD8_lumA
ZNF148_MA1653.1	chr5:177086858-177086870	S6R691V_her2
ZNF148_MA1653.1	chr22:45535371-45535383	PU24GB8_lumB
ZNF148_MA1653.1	chr12:45728708-45728720	98JKPD8_lumA
ZNF148_MA1653.1	chr9:128159747-128159759	98JKPD8_lumA
ZNF148_MA1653.1	chr1:23778337-23778349	98JKPD8_lumA
ZNF148_MA1653.1	chr10:133261689-133261701	98JKPD8_lumA
ZNF148_MA1653.1	chr12:26125140-26125152	98JKPD8_lumA
ZNF148_MA1653.1	chr1:200891076-200891088	ANAB5F7_basal
ZNF148_MA1653.1	chr9:38392600-38392612	ANAB5F7_basal
ZNF148_MA1653.1	chr12:19129735-19129747	98JKPD8_lumA
ZNF148_MA1653.1	chr14:104715510-104715522	S6R691V_her2
ZNF148_MA1653.1	chr8:38466888-38466900	98JKPD8_lumA
ZNF148_MA1653.1	chr18:58402515-58402527	2GAMBDQ_norm
ZNF148_MA1653.1	chr22:20131711-20131723	98JKPD8_lumA
ZNF148_MA1653.1	chr5:178113782-178113794	98JKPD8_lumA
ZNF148_MA1653.1	chr7:131057901-131057913	98JKPD8_lumA
ZNF148_MA1653.1	chr17:47884452-47884464	2GAMBDQ_norm
ZNF148_MA1653.1	chr5:73215994-73216006	98JKPD8_lumA
ZNF148_MA1653.1	chr4:76641378-76641390	98JKPD8_lumA
