motif_id	region_id	sample_id
TEAD1_MA0090.3	chr8:138890053-138890066	2GAMBDQ_norm
TEAD1_MA0090.3	chr5:36301263-36301276	98JKPD8_lumA
TEAD1_MA0090.3	chr17:64741475-64741488	ANAB5F7_basal
TEAD1_MA0090.3	chr10:66765574-66765587	2GAMBDQ_norm
TEAD1_MA0090.3	chr5:80184789-80184802	PU24GB8_lumB
TEAD1_MA0090.3	chr18:59552160-59552173	ANAB5F7_basal
TEAD1_MA0090.3	chr14:69086687-69086700	ANAB5F7_basal
TEAD1_MA0090.3	chr7:151736753-151736766	ANAB5F7_basal
TEAD1_MA0090.3	chr17:80025176-80025189	98JKPD8_lumA
TEAD1_MA0090.3	chr15:48935621-48935634	ANAB5F7_basal
