motif_id	region_id	sample_id
ZNF143_M07931_2.00	chr11:119084785-119084800	ANAB5F7_basal
ZNF143_M07931_2.00	chr1:23442864-23442879	ANAB5F7_basal
ZNF143_M07931_2.00	chr1:36486832-36486847	98JKPD8_lumA
ZNF143_M07931_2.00	chr6:53327213-53327228	ANAB5F7_basal
ZNF143_M07931_2.00	chr1:63593971-63593986	ANAB5F7_basal
ZNF143_M07931_2.00	chr20:51752890-51752905	98JKPD8_lumA
ZNF143_M07931_2.00	chr17:41785873-41785888	98JKPD8_lumA
ZNF143_M07931_2.00	chr4:183444196-183444211	98JKPD8_lumA
ZNF143_M07931_2.00	chr1:201946584-201946599	2GAMBDQ_norm
ZNF143_M07931_2.00	chr2:28735723-28735738	ANAB5F7_basal
ZNF143_M07931_2.00	chr17:1203398-1203413	98JKPD8_lumA
ZNF143_M07931_2.00	chr12:120925911-120925926	ANAB5F7_basal
ZNF143_M07931_2.00	chr7:97975321-97975336	ANAB5F7_basal
ZNF143_M07931_2.00	chr16:65960670-65960685	S6R691V_her2
ZNF143_M07931_2.00	chr6:83512552-83512567	ANAB5F7_basal
ZNF143_M07931_2.00	chr16:1422094-1422109	ANAB5F7_basal
ZNF143_M07931_2.00	chr17:8163103-8163118	98JKPD8_lumA
ZNF143_M07931_2.00	chr9:33233814-33233829	98JKPD8_lumA
