motif_id	region_id	sample_id
NEUROD1_M08057_2.00	chr6:159717208-159717221	ANAB5F7_basal
NEUROD1_M08057_2.00	chr8:133357051-133357064	ANAB5F7_basal
NEUROD1_M08057_2.00	chr5:178078009-178078022	98JKPD8_lumA
NEUROD1_M08057_2.00	chr22:36481988-36482001	98JKPD8_lumA
NEUROD1_M08057_2.00	chr11:2912369-2912382	S6R691V_her2
NEUROD1_M08057_2.00	chr12:132429100-132429113	ANAB5F7_basal
NEUROD1_M08057_2.00	chr3:50157208-50157221	98JKPD8_lumA
NEUROD1_M08057_2.00	chr8:133092190-133092203	98JKPD8_lumA
NEUROD1_M08057_2.00	chr6:31367367-31367380	98JKPD8_lumA
NEUROD1_M08057_2.00	chr4:125959-125972	ANAB5F7_basal
NEUROD1_M08057_2.00	chr8:70215847-70215860	ANAB5F7_basal
NEUROD1_M08057_2.00	chr6:31495383-31495396	ANAB5F7_basal
