motif_id	region_id	sample_id
TWST1_TWST1_HUMAN.H11MO.0.A	chr1:160463078-160463095	2GAMBDQ_norm
TWST1_TWST1_HUMAN.H11MO.0.A	chr1:231577291-231577308	98JKPD8_lumA
TWST1_TWST1_HUMAN.H11MO.0.A	chr5:8189264-8189281	98JKPD8_lumA
TWST1_TWST1_HUMAN.H11MO.0.A	chr15:40866379-40866396	98JKPD8_lumA
TWST1_TWST1_HUMAN.H11MO.0.A	chr18:48357193-48357210	98JKPD8_lumA
TWST1_TWST1_HUMAN.H11MO.0.A	chr1:203769627-203769644	ANAB5F7_basal
TWST1_TWST1_HUMAN.H11MO.0.A	chr8:100457998-100458015	S6R691V_her2
TWST1_TWST1_HUMAN.H11MO.0.A	chr18:56704615-56704632	2GAMBDQ_norm
TWST1_TWST1_HUMAN.H11MO.0.A	chr19:55359219-55359236	2GAMBDQ_norm
TWST1_TWST1_HUMAN.H11MO.0.A	chr11:114308352-114308369	98JKPD8_lumA
TWST1_TWST1_HUMAN.H11MO.0.A	chr16:73360759-73360776	2GAMBDQ_norm
TWST1_TWST1_HUMAN.H11MO.0.A	chr1:247813145-247813162	2GAMBDQ_norm
TWST1_TWST1_HUMAN.H11MO.0.A	chr4:102574360-102574377	98JKPD8_lumA
TWST1_TWST1_HUMAN.H11MO.0.A	chr9:116422285-116422302	2GAMBDQ_norm
TWST1_TWST1_HUMAN.H11MO.0.A	chr3:125186286-125186303	98JKPD8_lumA
TWST1_TWST1_HUMAN.H11MO.0.A	chr19:20617366-20617383	98JKPD8_lumA
TWST1_TWST1_HUMAN.H11MO.0.A	chr9:107750266-107750283	ANAB5F7_basal
TWST1_TWST1_HUMAN.H11MO.0.A	chr20:47506757-47506774	PU24GB8_lumB
