motif_id	region_id	sample_id
HKR1_M07662_2.00	chr1:205543561-205543582	ANAB5F7_basal
HKR1_M07662_2.00	chr19:3337126-3337147	98JKPD8_lumA
HKR1_M07662_2.00	chr6:31739946-31739967	ANAB5F7_basal
HKR1_M07662_2.00	chr16:7889302-7889323	2GAMBDQ_norm
HKR1_M07662_2.00	chr2:219387935-219387956	98JKPD8_lumA
HKR1_M07662_2.00	chr3:84548319-84548340	S6R691V_her2
HKR1_M07662_2.00	chr2:130798143-130798164	98JKPD8_lumA
HKR1_M07662_2.00	chr6:31272267-31272288	ANAB5F7_basal
HKR1_M07662_2.00	chr10:16966411-16966432	ANAB5F7_basal
HKR1_M07662_2.00	chr1:204149215-204149236	S6R691V_her2
HKR1_M07662_2.00	chr12:123584544-123584565	98JKPD8_lumA
HKR1_M07662_2.00	chr10:74176847-74176868	98JKPD8_lumA
HKR1_M07662_2.00	chr3:195271293-195271314	ANAB5F7_basal
HKR1_M07662_2.00	chr10:44975604-44975625	ANAB5F7_basal
HKR1_M07662_2.00	chr14:49633946-49633967	98JKPD8_lumA
HKR1_M07662_2.00	chr16:8797438-8797459	98JKPD8_lumA
HKR1_M07662_2.00	chr19:20039247-20039268	98JKPD8_lumA
HKR1_M07662_2.00	chr10:78303502-78303523	98JKPD8_lumA
HKR1_M07662_2.00	chr4:56908278-56908299	98JKPD8_lumA
HKR1_M07662_2.00	chr15:65517332-65517353	98JKPD8_lumA
HKR1_M07662_2.00	chr3:127304360-127304381	S6R691V_her2
HKR1_M07662_2.00	chr9:32526227-32526248	98JKPD8_lumA
HKR1_M07662_2.00	chr13:29743408-29743429	S6R691V_her2
HKR1_M07662_2.00	chr2:112588932-112588953	98JKPD8_lumA
HKR1_M07662_2.00	chr9:38442987-38443008	98JKPD8_lumA
HKR1_M07662_2.00	chr3:136195858-136195879	98JKPD8_lumA
HKR1_M07662_2.00	chr7:30595029-30595050	98JKPD8_lumA
HKR1_M07662_2.00	chr19:18374440-18374461	PU24GB8_lumB
HKR1_M07662_2.00	chr12:9648065-9648086	ANAB5F7_basal
HKR1_M07662_2.00	chr19:35067004-35067025	ANAB5F7_basal
HKR1_M07662_2.00	chr9:136838413-136838434	S6R691V_her2
HKR1_M07662_2.00	chr19:10891895-10891916	ANAB5F7_basal
HKR1_M07662_2.00	chr18:62524728-62524749	98JKPD8_lumA
HKR1_M07662_2.00	chr14:50396989-50397010	98JKPD8_lumA
HKR1_M07662_2.00	chr15:71071364-71071385	98JKPD8_lumA
HKR1_M07662_2.00	chr1:224483468-224483489	ANAB5F7_basal
HKR1_M07662_2.00	chr19:55600426-55600447	S6R691V_her2
HKR1_M07662_2.00	chr6:20404170-20404191	ANAB5F7_basal
HKR1_M07662_2.00	chr14:94174186-94174207	98JKPD8_lumA
HKR1_M07662_2.00	chr9:129497300-129497321	98JKPD8_lumA
HKR1_M07662_2.00	chr12:108562828-108562849	98JKPD8_lumA
HKR1_M07662_2.00	chr16:3488620-3488641	PU24GB8_lumB
HKR1_M07662_2.00	chr19:33821024-33821045	ANAB5F7_basal
HKR1_M07662_2.00	chr9:104928234-104928255	ANAB5F7_basal
HKR1_M07662_2.00	chr1:1163429-1163450	98JKPD8_lumA
HKR1_M07662_2.00	chr14:104715507-104715528	S6R691V_her2
HKR1_M07662_2.00	chr2:109146832-109146853	98JKPD8_lumA
HKR1_M07662_2.00	chr9:38392605-38392626	ANAB5F7_basal
HKR1_M07662_2.00	chr17:81239503-81239524	98JKPD8_lumA
HKR1_M07662_2.00	chr4:6751954-6751975	98JKPD8_lumA
HKR1_M07662_2.00	chr12:19129732-19129753	98JKPD8_lumA
HKR1_M07662_2.00	chr7:22083162-22083183	98JKPD8_lumA
HKR1_M07662_2.00	chr1:107686031-107686052	98JKPD8_lumA
HKR1_M07662_2.00	chr5:34673958-34673979	ANAB5F7_basal
HKR1_M07662_2.00	chr7:55887578-55887599	ANAB5F7_basal
HKR1_M07662_2.00	chr19:45824102-45824123	98JKPD8_lumA
HKR1_M07662_2.00	chr14:61107324-61107345	ANAB5F7_basal
HKR1_M07662_2.00	chr17:47884443-47884464	2GAMBDQ_norm
HKR1_M07662_2.00	chr12:42484285-42484306	ANAB5F7_basal
HKR1_M07662_2.00	chr21:36157008-36157029	PU24GB8_lumB
HKR1_M07662_2.00	chr22:45864453-45864474	98JKPD8_lumA
HKR1_M07662_2.00	chr11:1574708-1574729	98JKPD8_lumA
HKR1_M07662_2.00	chr17:77383185-77383206	PU24GB8_lumB
HKR1_M07662_2.00	chr22:31269907-31269928	PU24GB8_lumB
HKR1_M07662_2.00	chr18:58402515-58402536	2GAMBDQ_norm
HKR1_M07662_2.00	chr13:113169947-113169968	98JKPD8_lumA
HKR1_M07662_2.00	chr19:17405803-17405824	98JKPD8_lumA
HKR1_M07662_2.00	chr8:23084300-23084321	98JKPD8_lumA
HKR1_M07662_2.00	chr1:54836253-54836274	98JKPD8_lumA
HKR1_M07662_2.00	chr20:692995-693016	ANAB5F7_basal
HKR1_M07662_2.00	chr13:114015767-114015788	98JKPD8_lumA
HKR1_M07662_2.00	chr5:180353380-180353401	ANAB5F7_basal
HKR1_M07662_2.00	chr4:23920965-23920986	ANAB5F7_basal
HKR1_M07662_2.00	chr18:3262457-3262478	98JKPD8_lumA
HKR1_M07662_2.00	chr9:126914602-126914623	98JKPD8_lumA
HKR1_M07662_2.00	chr11:64879384-64879405	98JKPD8_lumA
HKR1_M07662_2.00	chr1:204127913-204127934	98JKPD8_lumA
HKR1_M07662_2.00	chr8:126425748-126425769	S6R691V_her2
HKR1_M07662_2.00	chr8:123654098-123654119	98JKPD8_lumA
HKR1_M07662_2.00	chr15:93030898-93030919	ANAB5F7_basal
HKR1_M07662_2.00	chr7:76373422-76373443	S6R691V_her2
HKR1_M07662_2.00	chr1:2015150-2015171	2GAMBDQ_norm
HKR1_M07662_2.00	chr17:38510302-38510323	S6R691V_her2
HKR1_M07662_2.00	chr1:113759407-113759428	98JKPD8_lumA
HKR1_M07662_2.00	chr10:59709775-59709796	98JKPD8_lumA
