motif_id	region_id	sample_id
BACH2_BACH2_HUMAN.H11MO.0.A	chr11:13098204-13098215	ANAB5F7_basal
BACH2_BACH2_HUMAN.H11MO.0.A	chr17:80900867-80900878	ANAB5F7_basal
BACH2_BACH2_HUMAN.H11MO.0.A	chr13:44108585-44108596	98JKPD8_lumA
BACH2_BACH2_HUMAN.H11MO.0.A	chr2:30756214-30756225	S6R691V_her2
BACH2_BACH2_HUMAN.H11MO.0.A	chr1:32716431-32716442	ANAB5F7_basal
BACH2_BACH2_HUMAN.H11MO.0.A	chr16:56344689-56344700	98JKPD8_lumA
BACH2_BACH2_HUMAN.H11MO.0.A	chr7:2758409-2758420	98JKPD8_lumA
BACH2_BACH2_HUMAN.H11MO.0.A	chr11:11218918-11218929	98JKPD8_lumA
BACH2_BACH2_HUMAN.H11MO.0.A	chr12:52186277-52186288	ANAB5F7_basal
BACH2_BACH2_HUMAN.H11MO.0.A	chr2:9812611-9812622	2GAMBDQ_norm
BACH2_BACH2_HUMAN.H11MO.0.A	chr2:213153828-213153839	98JKPD8_lumA
BACH2_BACH2_HUMAN.H11MO.0.A	chr17:68735111-68735122	ANAB5F7_basal
BACH2_BACH2_HUMAN.H11MO.0.A	chr3:32045748-32045759	S6R691V_her2
BACH2_BACH2_HUMAN.H11MO.0.A	chr5:16574200-16574211	98JKPD8_lumA
BACH2_BACH2_HUMAN.H11MO.0.A	chr5:86239794-86239805	2GAMBDQ_norm
