motif_id	region_id	sample_id
ATF3_M07824_2.00	chr9:87974584-87974595	98JKPD8_lumA
ATF3_M07824_2.00	chr19:3374838-3374849	98JKPD8_lumA
ATF3_M07824_2.00	chr4:17614588-17614599	98JKPD8_lumA
ATF3_M07824_2.00	chr2:241734680-241734691	98JKPD8_lumA
ATF3_M07824_2.00	chrX:102156020-102156031	98JKPD8_lumA
ATF3_M07824_2.00	chr17:68735106-68735117	ANAB5F7_basal
ATF3_M07824_2.00	chr1:206581909-206581920	ANAB5F7_basal
ATF3_M07824_2.00	chr12:62467328-62467339	ANAB5F7_basal
ATF3_M07824_2.00	chr2:26011885-26011896	98JKPD8_lumA
ATF3_M07824_2.00	chr3:9170270-9170281	98JKPD8_lumA
