motif_id	region_id	sample_id
BC11A_BC11A_HUMAN.H11MO.0.A	chr9:134025263-134025280	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr14:49620637-49620654	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr6:31272227-31272244	ANAB5F7_basal
BC11A_BC11A_HUMAN.H11MO.0.A	chr3:42490437-42490454	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr11:118241705-118241722	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr8:28800465-28800482	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr8:94553297-94553314	PU24GB8_lumB
BC11A_BC11A_HUMAN.H11MO.0.A	chr10:80688779-80688796	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr3:195260104-195260121	ANAB5F7_basal
BC11A_BC11A_HUMAN.H11MO.0.A	chr16:8797446-8797463	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr17:78421959-78421976	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr21:16420335-16420352	ANAB5F7_basal
BC11A_BC11A_HUMAN.H11MO.0.A	chr11:87000440-87000457	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr14:94335000-94335017	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr9:109120067-109120084	ANAB5F7_basal
BC11A_BC11A_HUMAN.H11MO.0.A	chr8:70217446-70217463	ANAB5F7_basal
BC11A_BC11A_HUMAN.H11MO.0.A	chr1:247894961-247894978	2GAMBDQ_norm
BC11A_BC11A_HUMAN.H11MO.0.A	chr8:58234617-58234634	ANAB5F7_basal
BC11A_BC11A_HUMAN.H11MO.0.A	chr8:23105235-23105252	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr1:200296144-200296161	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr19:13637152-13637169	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr6:1725040-1725057	ANAB5F7_basal
BC11A_BC11A_HUMAN.H11MO.0.A	chr7:8151052-8151069	ANAB5F7_basal
BC11A_BC11A_HUMAN.H11MO.0.A	chr5:82278551-82278568	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr7:97005020-97005037	ANAB5F7_basal
BC11A_BC11A_HUMAN.H11MO.0.A	chr17:11279810-11279827	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr17:81082649-81082666	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr17:77383179-77383196	PU24GB8_lumB
BC11A_BC11A_HUMAN.H11MO.0.A	chr20:48227517-48227534	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr19:10653513-10653530	ANAB5F7_basal
BC11A_BC11A_HUMAN.H11MO.0.A	chr20:11767077-11767094	ANAB5F7_basal
BC11A_BC11A_HUMAN.H11MO.0.A	chr12:55926725-55926742	ANAB5F7_basal
BC11A_BC11A_HUMAN.H11MO.0.A	chr1:224503120-224503137	ANAB5F7_basal
BC11A_BC11A_HUMAN.H11MO.0.A	chr8:131699472-131699489	PU24GB8_lumB
BC11A_BC11A_HUMAN.H11MO.0.A	chr7:36295177-36295194	98JKPD8_lumA
BC11A_BC11A_HUMAN.H11MO.0.A	chr9:112167098-112167115	ANAB5F7_basal
BC11A_BC11A_HUMAN.H11MO.0.A	chr4:140450607-140450624	S6R691V_her2
BC11A_BC11A_HUMAN.H11MO.0.A	chr20:59084053-59084070	ANAB5F7_basal
BC11A_BC11A_HUMAN.H11MO.0.A	chr15:44456855-44456872	98JKPD8_lumA
