motif_id	region_id	sample_id
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr19:55599762-55599773	S6R691V_her2
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr12:108562634-108562645	98JKPD8_lumA
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr3:3799738-3799749	98JKPD8_lumA
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr19:17816582-17816593	2GAMBDQ_norm
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr3:24273719-24273730	PU24GB8_lumB
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr1:1163433-1163444	98JKPD8_lumA
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr16:4615285-4615296	98JKPD8_lumA
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr11:119107698-119107709	98JKPD8_lumA
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr17:50532421-50532432	S6R691V_her2
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr12:124360725-124360736	98JKPD8_lumA
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr6:1725059-1725070	ANAB5F7_basal
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr3:109082119-109082130	ANAB5F7_basal
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr17:44132817-44132828	2GAMBDQ_norm
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr8:100458274-100458285	S6R691V_her2
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr8:101438029-101438040	ANAB5F7_basal
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr22:44739756-44739767	PU24GB8_lumB
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr21:45408201-45408212	ANAB5F7_basal
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr6:43787043-43787054	S6R691V_her2
NFKB2_NFKB2_HUMAN.H11MO.0.B	chr6:43806697-43806708	98JKPD8_lumA
