motif_id	region_id	sample_id
MXI1_MA1108.2	chr17:80900953-80900963	ANAB5F7_basal
MXI1_MA1108.2	chr1:234958237-234958247	S6R691V_her2
MXI1_MA1108.2	chr6:24865089-24865099	ANAB5F7_basal
MXI1_MA1108.2	chr14:68506825-68506835	98JKPD8_lumA
MXI1_MA1108.2	chr20:56810372-56810382	ANAB5F7_basal
MXI1_MA1108.2	chr18:75802336-75802346	PU24GB8_lumB
MXI1_MA1108.2	chr11:3124508-3124518	98JKPD8_lumA
MXI1_MA1108.2	chr10:18185793-18185803	98JKPD8_lumA
MXI1_MA1108.2	chr15:70410412-70410422	98JKPD8_lumA
MXI1_MA1108.2	chr5:16529480-16529490	98JKPD8_lumA
MXI1_MA1108.2	chr10:43045567-43045577	S6R691V_her2
