motif_id	region_id	sample_id
MYOG_MYOG_HUMAN.H11MO.0.B	chr15:99733404-99733417	ANAB5F7_basal
MYOG_MYOG_HUMAN.H11MO.0.B	chr9:136950040-136950053	S6R691V_her2
MYOG_MYOG_HUMAN.H11MO.0.B	chr17:80900997-80901010	ANAB5F7_basal
MYOG_MYOG_HUMAN.H11MO.0.B	chr1:151511737-151511750	98JKPD8_lumA
MYOG_MYOG_HUMAN.H11MO.0.B	chr15:99057791-99057804	ANAB5F7_basal
MYOG_MYOG_HUMAN.H11MO.0.B	chr5:178078010-178078023	98JKPD8_lumA
MYOG_MYOG_HUMAN.H11MO.0.B	chr1:46517187-46517200	98JKPD8_lumA
MYOG_MYOG_HUMAN.H11MO.0.B	chr11:3477423-3477436	98JKPD8_lumA
MYOG_MYOG_HUMAN.H11MO.0.B	chr11:2912370-2912383	S6R691V_her2
MYOG_MYOG_HUMAN.H11MO.0.B	chr1:38959813-38959826	ANAB5F7_basal
MYOG_MYOG_HUMAN.H11MO.0.B	chr3:111967881-111967894	ANAB5F7_basal
MYOG_MYOG_HUMAN.H11MO.0.B	chr1:18132899-18132912	98JKPD8_lumA
MYOG_MYOG_HUMAN.H11MO.0.B	chr17:50845856-50845869	98JKPD8_lumA
MYOG_MYOG_HUMAN.H11MO.0.B	chr1:172450474-172450487	ANAB5F7_basal
MYOG_MYOG_HUMAN.H11MO.0.B	chr1:46021599-46021612	98JKPD8_lumA
MYOG_MYOG_HUMAN.H11MO.0.B	chr6:41688979-41688992	ANAB5F7_basal
MYOG_MYOG_HUMAN.H11MO.0.B	chr15:88648462-88648475	98JKPD8_lumA
MYOG_MYOG_HUMAN.H11MO.0.B	chr12:130646320-130646333	PU24GB8_lumB
