motif_id	region_id	sample_id
MAZ_M08290_2.00	chr8:142777365-142777374	ANAB5F7_basal
MAZ_M08290_2.00	chr16:53503253-53503262	ANAB5F7_basal
MAZ_M08290_2.00	chr10:73997814-73997823	98JKPD8_lumA
MAZ_M08290_2.00	chr15:97960863-97960872	98JKPD8_lumA
MAZ_M08290_2.00	chr11:61429982-61429991	ANAB5F7_basal
MAZ_M08290_2.00	chr6:95577476-95577485	ANAB5F7_basal
MAZ_M08290_2.00	chr2:170928911-170928920	ANAB5F7_basal
MAZ_M08290_2.00	chr16:86798819-86798828	ANAB5F7_basal
MAZ_M08290_2.00	chr9:132355267-132355276	PU24GB8_lumB
MAZ_M08290_2.00	chr10:69408799-69408808	98JKPD8_lumA
MAZ_M08290_2.00	chr16:57372939-57372948	ANAB5F7_basal
MAZ_M08290_2.00	chr15:93048900-93048909	ANAB5F7_basal
MAZ_M08290_2.00	chr1:207818338-207818347	98JKPD8_lumA
MAZ_M08290_2.00	chr12:9648073-9648082	ANAB5F7_basal
MAZ_M08290_2.00	chr8:23682896-23682905	98JKPD8_lumA
MAZ_M08290_2.00	chr10:93384132-93384141	ANAB5F7_basal
MAZ_M08290_2.00	chr9:38392602-38392611	ANAB5F7_basal
MAZ_M08290_2.00	chr1:166167029-166167038	98JKPD8_lumA
MAZ_M08290_2.00	chr19:33821036-33821045	ANAB5F7_basal
MAZ_M08290_2.00	chr1:23778338-23778347	98JKPD8_lumA
MAZ_M08290_2.00	chr17:7036198-7036207	98JKPD8_lumA
MAZ_M08290_2.00	chr7:63068412-63068421	S6R691V_her2
MAZ_M08290_2.00	chr19:55600434-55600443	S6R691V_her2
MAZ_M08290_2.00	chr7:73822382-73822391	98JKPD8_lumA
MAZ_M08290_2.00	chr3:184345997-184346006	ANAB5F7_basal
MAZ_M08290_2.00	chr12:26125142-26125151	98JKPD8_lumA
MAZ_M08290_2.00	chr1:107686030-107686039	98JKPD8_lumA
MAZ_M08290_2.00	chr10:133261691-133261700	98JKPD8_lumA
MAZ_M08290_2.00	chr7:55887582-55887591	ANAB5F7_basal
MAZ_M08290_2.00	chr8:38466889-38466898	98JKPD8_lumA
MAZ_M08290_2.00	chr1:246506832-246506841	ANAB5F7_basal
MAZ_M08290_2.00	chr5:73215996-73216005	98JKPD8_lumA
MAZ_M08290_2.00	chr17:77383189-77383198	PU24GB8_lumB
MAZ_M08290_2.00	chr4:76641379-76641388	98JKPD8_lumA
