motif_id	region_id	sample_id
PAX5_M07998_2.00	chr11:74493216-74493231	98JKPD8_lumA
PAX5_M07998_2.00	chr21:36156549-36156564	ANAB5F7_basal
PAX5_M07998_2.00	chr10:73997808-73997823	98JKPD8_lumA
PAX5_M07998_2.00	chr15:99733389-99733404	ANAB5F7_basal
PAX5_M07998_2.00	chr2:17878643-17878658	98JKPD8_lumA
PAX5_M07998_2.00	chr5:132294363-132294378	98JKPD8_lumA
PAX5_M07998_2.00	chr20:407965-407980	ANAB5F7_basal
PAX5_M07998_2.00	chr1:146228809-146228824	ANAB5F7_basal
PAX5_M07998_2.00	chr7:54665008-54665023	98JKPD8_lumA
PAX5_M07998_2.00	chr6:73263222-73263237	ANAB5F7_basal
PAX5_M07998_2.00	chr19:18282051-18282066	PU24GB8_lumB
PAX5_M07998_2.00	chr9:36257984-36257999	98JKPD8_lumA
PAX5_M07998_2.00	chr3:48089394-48089409	98JKPD8_lumA
PAX5_M07998_2.00	chr8:11466504-11466519	98JKPD8_lumA
PAX5_M07998_2.00	chr7:149091243-149091258	ANAB5F7_basal
PAX5_M07998_2.00	chr19:17282686-17282701	ANAB5F7_basal
PAX5_M07998_2.00	chr6:3259223-3259238	ANAB5F7_basal
PAX5_M07998_2.00	chr7:767723-767738	98JKPD8_lumA
PAX5_M07998_2.00	chr17:2375310-2375325	98JKPD8_lumA
PAX5_M07998_2.00	chr19:10654793-10654808	ANAB5F7_basal
PAX5_M07998_2.00	chr4:1684244-1684259	PU24GB8_lumB
PAX5_M07998_2.00	chr3:196970118-196970133	ANAB5F7_basal
PAX5_M07998_2.00	chr10:26438748-26438763	S6R691V_her2
PAX5_M07998_2.00	chr3:73624413-73624428	98JKPD8_lumA
PAX5_M07998_2.00	chr5:159519481-159519496	ANAB5F7_basal
