motif_id	region_id	sample_id
FEV_FEV_HUMAN.H11MO.0.B	chr1:977014-977024	2GAMBDQ_norm
FEV_FEV_HUMAN.H11MO.0.B	chr19:18571684-18571694	ANAB5F7_basal
FEV_FEV_HUMAN.H11MO.0.B	chr1:233614102-233614112	ANAB5F7_basal
FEV_FEV_HUMAN.H11MO.0.B	chr2:170928915-170928925	ANAB5F7_basal
FEV_FEV_HUMAN.H11MO.0.B	chr6:2841896-2841906	PU24GB8_lumB
FEV_FEV_HUMAN.H11MO.0.B	chr12:9648070-9648080	ANAB5F7_basal
FEV_FEV_HUMAN.H11MO.0.B	chr5:112921543-112921553	98JKPD8_lumA
FEV_FEV_HUMAN.H11MO.0.B	chr16:1813006-1813016	PU24GB8_lumB
FEV_FEV_HUMAN.H11MO.0.B	chr1:39788847-39788857	2GAMBDQ_norm
FEV_FEV_HUMAN.H11MO.0.B	chr2:131682497-131682507	PU24GB8_lumB
FEV_FEV_HUMAN.H11MO.0.B	chr5:179907855-179907865	PU24GB8_lumB
FEV_FEV_HUMAN.H11MO.0.B	chr8:133074966-133074976	ANAB5F7_basal
FEV_FEV_HUMAN.H11MO.0.B	chr1:32695269-32695279	2GAMBDQ_norm
FEV_FEV_HUMAN.H11MO.0.B	chr5:91162562-91162572	2GAMBDQ_norm
FEV_FEV_HUMAN.H11MO.0.B	chr14:77708126-77708136	98JKPD8_lumA
FEV_FEV_HUMAN.H11MO.0.B	chr1:63593971-63593981	ANAB5F7_basal
FEV_FEV_HUMAN.H11MO.0.B	chr16:1297715-1297725	PU24GB8_lumB
FEV_FEV_HUMAN.H11MO.0.B	chr10:43076533-43076543	98JKPD8_lumA
FEV_FEV_HUMAN.H11MO.0.B	chr20:62044849-62044859	2GAMBDQ_norm
FEV_FEV_HUMAN.H11MO.0.B	chr3:45547917-45547927	2GAMBDQ_norm
FEV_FEV_HUMAN.H11MO.0.B	chr12:55926728-55926738	ANAB5F7_basal
