motif_id	region_id	sample_id
ZIK1_M07633_2.00	chr2:237662855-237662876	98JKPD8_lumA
ZIK1_M07633_2.00	chr10:133261967-133261988	98JKPD8_lumA
ZIK1_M07633_2.00	chr2:237662906-237662927	98JKPD8_lumA
ZIK1_M07633_2.00	chr5:126539284-126539305	98JKPD8_lumA
ZIK1_M07633_2.00	chr2:180715244-180715265	98JKPD8_lumA
ZIK1_M07633_2.00	chr2:170815883-170815904	98JKPD8_lumA
ZIK1_M07633_2.00	chr14:94335006-94335027	98JKPD8_lumA
ZIK1_M07633_2.00	chr10:9069129-9069150	98JKPD8_lumA
ZIK1_M07633_2.00	chr1:108087711-108087732	S6R691V_her2
ZIK1_M07633_2.00	chr2:189784971-189784992	98JKPD8_lumA
ZIK1_M07633_2.00	chr19:15038675-15038696	ANAB5F7_basal
ZIK1_M07633_2.00	chr19:17405861-17405882	98JKPD8_lumA
ZIK1_M07633_2.00	chr2:134376151-134376172	ANAB5F7_basal
ZIK1_M07633_2.00	chr4:140450601-140450622	S6R691V_her2
ZIK1_M07633_2.00	chr5:16552793-16552814	98JKPD8_lumA
ZIK1_M07633_2.00	chr3:66500328-66500349	98JKPD8_lumA
ZIK1_M07633_2.00	chr1:16173372-16173393	98JKPD8_lumA
ZIK1_M07633_2.00	chr18:12991916-12991937	ANAB5F7_basal
ZIK1_M07633_2.00	chr20:56890360-56890381	98JKPD8_lumA
ZIK1_M07633_2.00	chr17:77332287-77332308	S6R691V_her2
ZIK1_M07633_2.00	chr1:202756840-202756861	ANAB5F7_basal
ZIK1_M07633_2.00	chr8:26409938-26409959	98JKPD8_lumA
ZIK1_M07633_2.00	chr12:124360729-124360750	98JKPD8_lumA
ZIK1_M07633_2.00	chr1:13901718-13901739	98JKPD8_lumA
ZIK1_M07633_2.00	chr15:100849820-100849841	ANAB5F7_basal
ZIK1_M07633_2.00	chr10:9045204-9045225	98JKPD8_lumA
ZIK1_M07633_2.00	chr21:43713132-43713153	ANAB5F7_basal
ZIK1_M07633_2.00	chr21:29033439-29033460	S6R691V_her2
ZIK1_M07633_2.00	chr5:173707021-173707042	98JKPD8_lumA
ZIK1_M07633_2.00	chr16:1367400-1367421	98JKPD8_lumA
