motif_id	region_id	sample_id
CLOCK_CLOCK_HUMAN.H11MO.0.C	chr1:153725224-153725238	ANAB5F7_basal
CLOCK_CLOCK_HUMAN.H11MO.0.C	chr8:143355122-143355136	ANAB5F7_basal
CLOCK_CLOCK_HUMAN.H11MO.0.C	chr4:17614587-17614601	98JKPD8_lumA
CLOCK_CLOCK_HUMAN.H11MO.0.C	chr2:38515625-38515639	98JKPD8_lumA
CLOCK_CLOCK_HUMAN.H11MO.0.C	chr17:1487203-1487217	98JKPD8_lumA
CLOCK_CLOCK_HUMAN.H11MO.0.C	chr7:131061411-131061425	98JKPD8_lumA
CLOCK_CLOCK_HUMAN.H11MO.0.C	chr18:48357207-48357221	98JKPD8_lumA
CLOCK_CLOCK_HUMAN.H11MO.0.C	chr8:22757860-22757874	2GAMBDQ_norm
CLOCK_CLOCK_HUMAN.H11MO.0.C	chr2:160352021-160352035	ANAB5F7_basal
CLOCK_CLOCK_HUMAN.H11MO.0.C	chr6:24865087-24865101	ANAB5F7_basal
CLOCK_CLOCK_HUMAN.H11MO.0.C	chr18:75802334-75802348	PU24GB8_lumB
CLOCK_CLOCK_HUMAN.H11MO.0.C	chr12:38905749-38905763	ANAB5F7_basal
CLOCK_CLOCK_HUMAN.H11MO.0.C	chr1:33877142-33877156	ANAB5F7_basal
CLOCK_CLOCK_HUMAN.H11MO.0.C	chr6:164927647-164927661	ANAB5F7_basal
