motif_id	region_id	sample_id
ELF1_ELF1_HUMAN.H11MO.0.A	chr9:136555101-136555115	ANAB5F7_basal
ELF1_ELF1_HUMAN.H11MO.0.A	chr19:18571681-18571695	ANAB5F7_basal
ELF1_ELF1_HUMAN.H11MO.0.A	chr8:143355112-143355126	ANAB5F7_basal
ELF1_ELF1_HUMAN.H11MO.0.A	chr10:110434023-110434037	S6R691V_her2
ELF1_ELF1_HUMAN.H11MO.0.A	chr5:112921542-112921556	98JKPD8_lumA
ELF1_ELF1_HUMAN.H11MO.0.A	chr19:55675105-55675119	98JKPD8_lumA
ELF1_ELF1_HUMAN.H11MO.0.A	chr6:2841893-2841907	PU24GB8_lumB
ELF1_ELF1_HUMAN.H11MO.0.A	chr13:52652306-52652320	ANAB5F7_basal
ELF1_ELF1_HUMAN.H11MO.0.A	chr8:70217449-70217463	ANAB5F7_basal
ELF1_ELF1_HUMAN.H11MO.0.A	chr19:15779802-15779816	ANAB5F7_basal
ELF1_ELF1_HUMAN.H11MO.0.A	chr5:179907852-179907866	PU24GB8_lumB
ELF1_ELF1_HUMAN.H11MO.0.A	chr17:41529188-41529202	98JKPD8_lumA
ELF1_ELF1_HUMAN.H11MO.0.A	chr15:74791930-74791944	S6R691V_her2
ELF1_ELF1_HUMAN.H11MO.0.A	chr4:1246658-1246672	S6R691V_her2
ELF1_ELF1_HUMAN.H11MO.0.A	chr12:55848158-55848172	2GAMBDQ_norm
