motif_id	region_id	sample_id
NR4A1_NR4A1_HUMAN.H11MO.0.A	chr6:166383224-166383233	ANAB5F7_basal
NR4A1_NR4A1_HUMAN.H11MO.0.A	chr7:2354308-2354317	98JKPD8_lumA
NR4A1_NR4A1_HUMAN.H11MO.0.A	chr1:203169839-203169848	2GAMBDQ_norm
NR4A1_NR4A1_HUMAN.H11MO.0.A	chr1:193058861-193058870	98JKPD8_lumA
NR4A1_NR4A1_HUMAN.H11MO.0.A	chr2:46955621-46955630	ANAB5F7_basal
NR4A1_NR4A1_HUMAN.H11MO.0.A	chr8:125285138-125285147	98JKPD8_lumA
NR4A1_NR4A1_HUMAN.H11MO.0.A	chr7:28986474-28986483	ANAB5F7_basal
NR4A1_NR4A1_HUMAN.H11MO.0.A	chr13:18874915-18874924	2GAMBDQ_norm
NR4A1_NR4A1_HUMAN.H11MO.0.A	chr6:1485990-1485999	ANAB5F7_basal
NR4A1_NR4A1_HUMAN.H11MO.0.A	chr3:190361987-190361996	ANAB5F7_basal
NR4A1_NR4A1_HUMAN.H11MO.0.A	chr5:173056017-173056026	98JKPD8_lumA
NR4A1_NR4A1_HUMAN.H11MO.0.A	chr8:135456558-135456567	ANAB5F7_basal
