motif_id	region_id	sample_id
REST_M07853_2.00	chr7:141193319-141193334	2GAMBDQ_norm
REST_M07853_2.00	chr20:45881112-45881127	PU24GB8_lumB
REST_M07853_2.00	chr8:19415250-19415265	ANAB5F7_basal
REST_M07853_2.00	chr14:24430996-24431011	S6R691V_her2
REST_M07853_2.00	chr3:127304366-127304381	S6R691V_her2
REST_M07853_2.00	chr6:2841904-2841919	PU24GB8_lumB
REST_M07853_2.00	chr6:29942204-29942219	ANAB5F7_basal
REST_M07853_2.00	chr1:200891068-200891083	ANAB5F7_basal
REST_M07853_2.00	chr20:34579260-34579275	98JKPD8_lumA
REST_M07853_2.00	chr5:65926365-65926380	98JKPD8_lumA
REST_M07853_2.00	chr17:80169445-80169460	PU24GB8_lumB
REST_M07853_2.00	chr17:44098447-44098462	2GAMBDQ_norm
REST_M07853_2.00	chr15:65534330-65534345	98JKPD8_lumA
REST_M07853_2.00	chr6:90586697-90586712	ANAB5F7_basal
REST_M07853_2.00	chr14:51652384-51652399	98JKPD8_lumA
REST_M07853_2.00	chr12:101891895-101891910	S6R691V_her2
REST_M07853_2.00	chr4:10256420-10256435	98JKPD8_lumA
REST_M07853_2.00	chr17:81045437-81045452	98JKPD8_lumA
REST_M07853_2.00	chr12:51218267-51218282	98JKPD8_lumA
REST_M07853_2.00	chrX:129000396-129000411	PU24GB8_lumB
REST_M07853_2.00	chr3:16842462-16842477	ANAB5F7_basal
REST_M07853_2.00	chr9:136118163-136118178	S6R691V_her2
REST_M07853_2.00	chr7:30239793-30239808	98JKPD8_lumA
