motif_id	region_id	sample_id
MAFF_MA0495.3	chr1:32716424-32716440	ANAB5F7_basal
MAFF_MA0495.3	chr2:24360804-24360820	ANAB5F7_basal
MAFF_MA0495.3	chr8:20203332-20203348	ANAB5F7_basal
MAFF_MA0495.3	chr9:14323335-14323351	ANAB5F7_basal
MAFF_MA0495.3	chr2:1717608-1717624	ANAB5F7_basal
MAFF_MA0495.3	chr6:1725019-1725035	ANAB5F7_basal
MAFF_MA0495.3	chr8:6434283-6434299	S6R691V_her2
MAFF_MA0495.3	chr8:100458010-100458026	S6R691V_her2
MAFF_MA0495.3	chr6:29762852-29762868	ANAB5F7_basal
MAFF_MA0495.3	chr6:11185985-11186001	PU24GB8_lumB
MAFF_MA0495.3	chr11:13097808-13097824	ANAB5F7_basal
MAFF_MA0495.3	chr1:27115865-27115881	98JKPD8_lumA
MAFF_MA0495.3	chr12:110224520-110224536	ANAB5F7_basal
MAFF_MA0495.3	chr1:58687499-58687515	S6R691V_her2
MAFF_MA0495.3	chr8:105278402-105278418	ANAB5F7_basal
