motif_id	region_id	sample_id
MYC_M07804_2.00	chr5:132294076-132294087	98JKPD8_lumA
MYC_M07804_2.00	chr4:17614588-17614599	98JKPD8_lumA
MYC_M07804_2.00	chr17:80900953-80900964	ANAB5F7_basal
MYC_M07804_2.00	chr10:113552122-113552133	2GAMBDQ_norm
MYC_M07804_2.00	chr19:17282688-17282699	ANAB5F7_basal
MYC_M07804_2.00	chr11:3123435-3123446	98JKPD8_lumA
MYC_M07804_2.00	chr11:3124508-3124519	98JKPD8_lumA
MYC_M07804_2.00	chr10:18185792-18185803	98JKPD8_lumA
MYC_M07804_2.00	chr5:65066578-65066589	98JKPD8_lumA
MYC_M07804_2.00	chr15:70410411-70410422	98JKPD8_lumA
MYC_M07804_2.00	chr20:54084583-54084594	98JKPD8_lumA
MYC_M07804_2.00	chr10:119496590-119496601	PU24GB8_lumB
MYC_M07804_2.00	chr5:16529480-16529491	98JKPD8_lumA
