motif_id	region_id	sample_id
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr3:52852386-52852399	2GAMBDQ_norm
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr17:54744981-54744994	98JKPD8_lumA
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr8:18677000-18677013	98JKPD8_lumA
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr15:25839048-25839061	98JKPD8_lumA
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr1:188770065-188770078	2GAMBDQ_norm
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr1:66286522-66286535	S6R691V_her2
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr4:189816076-189816089	98JKPD8_lumA
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr4:88319003-88319016	2GAMBDQ_norm
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr6:48649955-48649968	98JKPD8_lumA
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr3:11706762-11706775	S6R691V_her2
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr3:54643836-54643849	98JKPD8_lumA
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr7:113870900-113870913	98JKPD8_lumA
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr4:67038382-67038395	2GAMBDQ_norm
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr22:31130657-31130670	98JKPD8_lumA
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr7:50681727-50681740	ANAB5F7_basal
FOXA3_FOXA3_HUMAN.H11MO.0.B	chr18:61882827-61882840	PU24GB8_lumB
