motif_id	region_id	sample_id
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr13:23488591-23488611	98JKPD8_lumA
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr10:66765549-66765569	2GAMBDQ_norm
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr19:13637156-13637176	98JKPD8_lumA
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr6:152301723-152301743	98JKPD8_lumA
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr8:28492204-28492224	2GAMBDQ_norm
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr16:31460279-31460299	98JKPD8_lumA
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr4:61438010-61438030	2GAMBDQ_norm
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr1:235635960-235635980	ANAB5F7_basal
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr12:122891995-122892015	ANAB5F7_basal
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr21:30322452-30322472	98JKPD8_lumA
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr20:11767072-11767092	ANAB5F7_basal
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr1:226115569-226115589	ANAB5F7_basal
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr1:212061197-212061217	98JKPD8_lumA
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr5:40835459-40835479	ANAB5F7_basal
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr8:38512303-38512323	98JKPD8_lumA
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr4:71260722-71260742	ANAB5F7_basal
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr20:4162374-4162394	ANAB5F7_basal
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr6:47741122-47741142	98JKPD8_lumA
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr1:145998460-145998480	98JKPD8_lumA
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr9:22052720-22052740	ANAB5F7_basal
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr16:749160-749180	2GAMBDQ_norm
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr18:42379145-42379165	2GAMBDQ_norm
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr7:125033300-125033320	98JKPD8_lumA
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr7:135679139-135679159	ANAB5F7_basal
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr3:64266942-64266962	98JKPD8_lumA
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr16:69583607-69583627	S6R691V_her2
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr2:214192624-214192644	2GAMBDQ_norm
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr1:161523737-161523757	98JKPD8_lumA
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr10:131650254-131650274	S6R691V_her2
ZNF85_ZNF85_HUMAN.H11MO.0.C	chr2:164991566-164991586	2GAMBDQ_norm
