motif_id	region_id	sample_id
ELK4_M07958_2.00	chr11:3477216-3477227	98JKPD8_lumA
ELK4_M07958_2.00	chr8:143355114-143355125	ANAB5F7_basal
ELK4_M07958_2.00	chr5:112921543-112921554	98JKPD8_lumA
ELK4_M07958_2.00	chr6:2841895-2841906	PU24GB8_lumB
ELK4_M07958_2.00	chr19:55675107-55675118	98JKPD8_lumA
ELK4_M07958_2.00	chr19:18571683-18571694	ANAB5F7_basal
ELK4_M07958_2.00	chr8:70217450-70217461	ANAB5F7_basal
ELK4_M07958_2.00	chr8:118620948-118620959	98JKPD8_lumA
ELK4_M07958_2.00	chr7:64666338-64666349	98JKPD8_lumA
ELK4_M07958_2.00	chr4:1246660-1246671	S6R691V_her2
