motif_id	region_id	sample_id
MYC_MA0147.3	chr5:132294075-132294087	98JKPD8_lumA
MYC_MA0147.3	chr4:17614588-17614600	98JKPD8_lumA
MYC_MA0147.3	chr19:43755628-43755640	ANAB5F7_basal
MYC_MA0147.3	chr19:3374837-3374849	98JKPD8_lumA
MYC_MA0147.3	chr10:113552122-113552134	2GAMBDQ_norm
MYC_MA0147.3	chr18:48357208-48357220	98JKPD8_lumA
MYC_MA0147.3	chr8:22757861-22757873	2GAMBDQ_norm
MYC_MA0147.3	chr3:50157209-50157221	98JKPD8_lumA
MYC_MA0147.3	chr17:50845857-50845869	98JKPD8_lumA
MYC_MA0147.3	chr11:3123434-3123446	98JKPD8_lumA
MYC_MA0147.3	chr15:67542530-67542542	98JKPD8_lumA
MYC_MA0147.3	chr7:157432865-157432877	PU24GB8_lumB
