motif_id	region_id	sample_id
E2F7_E2F7_HUMAN.H11MO.0.B	chr1:205543562-205543575	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr8:142777362-142777375	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr10:73997813-73997826	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr21:39312496-39312509	PU24GB8_lumB
E2F7_E2F7_HUMAN.H11MO.0.B	chr14:49620638-49620651	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr15:97960862-97960875	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr2:170928908-170928921	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr11:61429979-61429992	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr9:6080405-6080418	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr3:42490444-42490457	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr10:69408796-69408809	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr7:22821923-22821936	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr5:112921542-112921555	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr12:131929169-131929182	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr16:57372938-57372951	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr17:67993854-67993867	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr15:93048899-93048912	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr16:71845953-71845966	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr2:234502420-234502433	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr1:207818337-207818350	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr12:9648070-9648083	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr4:56908275-56908288	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr10:133262161-133262174	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr1:224483466-224483479	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr5:139788168-139788181	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr9:38392601-38392614	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr7:767728-767741	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr1:23778335-23778348	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr11:46273205-46273218	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr2:109146838-109146851	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr1:107686029-107686042	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr12:19129730-19129743	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr1:246506834-246506847	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr7:55887579-55887592	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr5:134225895-134225908	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr1:1349466-1349479	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr5:177086864-177086877	S6R691V_her2
E2F7_E2F7_HUMAN.H11MO.0.B	chr5:73215995-73216008	98JKPD8_lumA
E2F7_E2F7_HUMAN.H11MO.0.B	chr6:3259228-3259241	ANAB5F7_basal
E2F7_E2F7_HUMAN.H11MO.0.B	chr3:45688624-45688637	98JKPD8_lumA
