motif_id	region_id	sample_id
MAX_MAX_HUMAN.H11MO.0.A	chr19:57363392-57363402	S6R691V_her2
MAX_MAX_HUMAN.H11MO.0.A	chr5:132294075-132294085	98JKPD8_lumA
MAX_MAX_HUMAN.H11MO.0.A	chr4:17614588-17614598	98JKPD8_lumA
MAX_MAX_HUMAN.H11MO.0.A	chr19:3374839-3374849	98JKPD8_lumA
MAX_MAX_HUMAN.H11MO.0.A	chr10:113552124-113552134	2GAMBDQ_norm
MAX_MAX_HUMAN.H11MO.0.A	chr1:18132900-18132910	98JKPD8_lumA
MAX_MAX_HUMAN.H11MO.0.A	chr17:50845857-50845867	98JKPD8_lumA
MAX_MAX_HUMAN.H11MO.0.A	chr12:130646322-130646332	PU24GB8_lumB
MAX_MAX_HUMAN.H11MO.0.A	chr2:128307302-128307312	98JKPD8_lumA
MAX_MAX_HUMAN.H11MO.0.A	chr7:157432865-157432875	PU24GB8_lumB
MAX_MAX_HUMAN.H11MO.0.A	chr1:212782623-212782633	98JKPD8_lumA
MAX_MAX_HUMAN.H11MO.0.A	chr19:45295116-45295126	ANAB5F7_basal
MAX_MAX_HUMAN.H11MO.0.A	chr15:25802202-25802212	2GAMBDQ_norm
MAX_MAX_HUMAN.H11MO.0.A	chr6:41688981-41688991	ANAB5F7_basal
