motif_id	region_id	sample_id
ETS1_M07951_2.00	chr1:224356823-224356844	ANAB5F7_basal
ETS1_M07951_2.00	chr18:8990706-8990727	98JKPD8_lumA
ETS1_M07951_2.00	chr5:132294367-132294388	98JKPD8_lumA
ETS1_M07951_2.00	chr1:156892487-156892508	ANAB5F7_basal
ETS1_M07951_2.00	chr1:36486828-36486849	98JKPD8_lumA
ETS1_M07951_2.00	chr20:63741444-63741465	S6R691V_her2
ETS1_M07951_2.00	chr16:67246319-67246340	98JKPD8_lumA
ETS1_M07951_2.00	chr6:53327209-53327230	ANAB5F7_basal
ETS1_M07951_2.00	chr20:51752886-51752907	98JKPD8_lumA
ETS1_M07951_2.00	chr1:63593967-63593988	ANAB5F7_basal
ETS1_M07951_2.00	chr7:7115074-7115095	S6R691V_her2
ETS1_M07951_2.00	chr13:71865268-71865289	98JKPD8_lumA
ETS1_M07951_2.00	chr1:201983181-201983202	ANAB5F7_basal
ETS1_M07951_2.00	chr11:3005458-3005479	98JKPD8_lumA
ETS1_M07951_2.00	chr4:183444194-183444215	98JKPD8_lumA
ETS1_M07951_2.00	chrX:23783458-23783479	98JKPD8_lumA
ETS1_M07951_2.00	chr1:201946582-201946603	2GAMBDQ_norm
ETS1_M07951_2.00	chr1:222738600-222738621	ANAB5F7_basal
ETS1_M07951_2.00	chr17:1203394-1203415	98JKPD8_lumA
ETS1_M07951_2.00	chr1:246166567-246166588	98JKPD8_lumA
ETS1_M07951_2.00	chr2:36820753-36820774	ANAB5F7_basal
ETS1_M07951_2.00	chr8:56752458-56752479	ANAB5F7_basal
ETS1_M07951_2.00	chr20:50790657-50790678	S6R691V_her2
ETS1_M07951_2.00	chr7:97975317-97975338	ANAB5F7_basal
ETS1_M07951_2.00	chr6:43787045-43787066	S6R691V_her2
ETS1_M07951_2.00	chr16:85800112-85800133	98JKPD8_lumA
ETS1_M07951_2.00	chr4:89307444-89307465	98JKPD8_lumA
ETS1_M07951_2.00	chr19:53553890-53553911	ANAB5F7_basal
