motif_id	region_id	sample_id
RFX5_RFX5_HUMAN.H11MO.0.A	chr9:128128156-128128176	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr19:56121595-56121615	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr6:41682176-41682196	ANAB5F7_basal
RFX5_RFX5_HUMAN.H11MO.0.A	chr2:222656177-222656197	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr7:767732-767752	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr10:133261973-133261993	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr7:4189183-4189203	ANAB5F7_basal
RFX5_RFX5_HUMAN.H11MO.0.A	chr1:225811034-225811054	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr11:134331953-134331973	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr2:180715239-180715259	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr4:107719946-107719966	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr18:48997036-48997056	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr10:1448837-1448857	PU24GB8_lumB
RFX5_RFX5_HUMAN.H11MO.0.A	chr22:50190006-50190026	ANAB5F7_basal
RFX5_RFX5_HUMAN.H11MO.0.A	chr17:282764-282784	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr5:177930561-177930581	S6R691V_her2
RFX5_RFX5_HUMAN.H11MO.0.A	chr6:166707246-166707266	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr16:4624937-4624957	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr3:69406453-69406473	ANAB5F7_basal
RFX5_RFX5_HUMAN.H11MO.0.A	chr12:133079694-133079714	ANAB5F7_basal
RFX5_RFX5_HUMAN.H11MO.0.A	chr11:17277259-17277279	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr17:63773027-63773047	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr6:106373328-106373348	ANAB5F7_basal
RFX5_RFX5_HUMAN.H11MO.0.A	chr16:85474368-85474388	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr7:44885014-44885034	ANAB5F7_basal
RFX5_RFX5_HUMAN.H11MO.0.A	chr4:169010585-169010605	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr12:31986037-31986057	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr19:45823926-45823946	98JKPD8_lumA
RFX5_RFX5_HUMAN.H11MO.0.A	chr19:15673238-15673258	ANAB5F7_basal
RFX5_RFX5_HUMAN.H11MO.0.A	chr4:89307571-89307591	98JKPD8_lumA
