motif_id	region_id	sample_id
ATF2_ATF2_HUMAN.H11MO.0.B	chr7:74612238-74612249	ANAB5F7_basal
ATF2_ATF2_HUMAN.H11MO.0.B	chr9:87974584-87974595	98JKPD8_lumA
ATF2_ATF2_HUMAN.H11MO.0.B	chr19:10644222-10644233	ANAB5F7_basal
ATF2_ATF2_HUMAN.H11MO.0.B	chr12:62467328-62467339	ANAB5F7_basal
ATF2_ATF2_HUMAN.H11MO.0.B	chr6:31272527-31272538	98JKPD8_lumA
ATF2_ATF2_HUMAN.H11MO.0.B	chrX:144612278-144612289	98JKPD8_lumA
ATF2_ATF2_HUMAN.H11MO.0.B	chr6:152201237-152201248	98JKPD8_lumA
ATF2_ATF2_HUMAN.H11MO.0.B	chr1:202601225-202601236	98JKPD8_lumA
ATF2_ATF2_HUMAN.H11MO.0.B	chr6:39226749-39226760	ANAB5F7_basal
ATF2_ATF2_HUMAN.H11MO.0.B	chr2:203544584-203544595	98JKPD8_lumA
