motif_id	region_id	sample_id
ESR1_ESR1_HUMAN.H11MO.0.A	chr17:80900871-80900886	ANAB5F7_basal
ESR1_ESR1_HUMAN.H11MO.0.A	chr5:32522800-32522815	ANAB5F7_basal
ESR1_ESR1_HUMAN.H11MO.0.A	chr10:79070523-79070538	ANAB5F7_basal
ESR1_ESR1_HUMAN.H11MO.0.A	chr7:30617573-30617588	98JKPD8_lumA
ESR1_ESR1_HUMAN.H11MO.0.A	chr11:2912368-2912383	S6R691V_her2
ESR1_ESR1_HUMAN.H11MO.0.A	chr6:31196912-31196927	ANAB5F7_basal
ESR1_ESR1_HUMAN.H11MO.0.A	chr3:195270485-195270500	ANAB5F7_basal
ESR1_ESR1_HUMAN.H11MO.0.A	chr3:127455918-127455933	ANAB5F7_basal
ESR1_ESR1_HUMAN.H11MO.0.A	chr17:75114183-75114198	ANAB5F7_basal
ESR1_ESR1_HUMAN.H11MO.0.A	chr12:10365405-10365420	ANAB5F7_basal
ESR1_ESR1_HUMAN.H11MO.0.A	chr20:53790455-53790470	ANAB5F7_basal
ESR1_ESR1_HUMAN.H11MO.0.A	chr9:114279007-114279022	ANAB5F7_basal
ESR1_ESR1_HUMAN.H11MO.0.A	chr15:100464498-100464513	PU24GB8_lumB
ESR1_ESR1_HUMAN.H11MO.0.A	chr11:76209385-76209400	ANAB5F7_basal
ESR1_ESR1_HUMAN.H11MO.0.A	chr6:3363892-3363907	S6R691V_her2
ESR1_ESR1_HUMAN.H11MO.0.A	chr6:152201230-152201245	98JKPD8_lumA
ESR1_ESR1_HUMAN.H11MO.0.A	chr2:129437453-129437468	ANAB5F7_basal
