motif_id	region_id	sample_id
ZNF33A_M08263_2.00	chr2:175168483-175168505	ANAB5F7_basal
ZNF33A_M08263_2.00	chr6:31272069-31272091	ANAB5F7_basal
ZNF33A_M08263_2.00	chr12:12033515-12033537	98JKPD8_lumA
ZNF33A_M08263_2.00	chr11:62013686-62013708	2GAMBDQ_norm
ZNF33A_M08263_2.00	chr8:55879586-55879608	ANAB5F7_basal
ZNF33A_M08263_2.00	chr8:27740646-27740668	S6R691V_her2
ZNF33A_M08263_2.00	chr12:121016448-121016470	98JKPD8_lumA
ZNF33A_M08263_2.00	chr7:149127596-149127618	ANAB5F7_basal
ZNF33A_M08263_2.00	chr1:36088822-36088844	98JKPD8_lumA
ZNF33A_M08263_2.00	chr16:89827737-89827759	98JKPD8_lumA
ZNF33A_M08263_2.00	chr18:48997095-48997117	98JKPD8_lumA
ZNF33A_M08263_2.00	chr19:15673046-15673068	ANAB5F7_basal
ZNF33A_M08263_2.00	chr6:31357156-31357178	98JKPD8_lumA
ZNF33A_M08263_2.00	chr7:131061408-131061430	98JKPD8_lumA
ZNF33A_M08263_2.00	chr3:107431596-107431618	98JKPD8_lumA
ZNF33A_M08263_2.00	chr2:131544293-131544315	PU24GB8_lumB
ZNF33A_M08263_2.00	chr13:98301889-98301911	ANAB5F7_basal
ZNF33A_M08263_2.00	chr22:37899256-37899278	ANAB5F7_basal
ZNF33A_M08263_2.00	chr19:4716382-4716404	98JKPD8_lumA
ZNF33A_M08263_2.00	chr17:78592823-78592845	S6R691V_her2
ZNF33A_M08263_2.00	chr9:136555688-136555710	ANAB5F7_basal
ZNF33A_M08263_2.00	chr1:204127916-204127938	98JKPD8_lumA
ZNF33A_M08263_2.00	chr17:80989136-80989158	98JKPD8_lumA
ZNF33A_M08263_2.00	chr20:45890991-45891013	98JKPD8_lumA
ZNF33A_M08263_2.00	chr15:88624876-88624898	98JKPD8_lumA
ZNF33A_M08263_2.00	chr17:68238297-68238319	S6R691V_her2
ZNF33A_M08263_2.00	chr20:59084048-59084070	ANAB5F7_basal
ZNF33A_M08263_2.00	chr12:51218264-51218286	98JKPD8_lumA
ZNF33A_M08263_2.00	chr17:80900566-80900588	ANAB5F7_basal
ZNF33A_M08263_2.00	chr5:56815904-56815926	98JKPD8_lumA
ZNF33A_M08263_2.00	chr5:132464268-132464290	S6R691V_her2
ZNF33A_M08263_2.00	chr9:133022497-133022519	ANAB5F7_basal
ZNF33A_M08263_2.00	chr9:132406786-132406808	98JKPD8_lumA
ZNF33A_M08263_2.00	chr3:72446617-72446639	98JKPD8_lumA
ZNF33A_M08263_2.00	chr11:62311441-62311463	S6R691V_her2
ZNF33A_M08263_2.00	chr7:149744811-149744833	98JKPD8_lumA
ZNF33A_M08263_2.00	chr12:123383429-123383451	98JKPD8_lumA
ZNF33A_M08263_2.00	chr3:105882754-105882776	ANAB5F7_basal
ZNF33A_M08263_2.00	chr20:62617071-62617093	S6R691V_her2
ZNF33A_M08263_2.00	chr1:210916892-210916914	98JKPD8_lumA
ZNF33A_M08263_2.00	chr5:31932015-31932037	2GAMBDQ_norm
ZNF33A_M08263_2.00	chr1:232544439-232544461	98JKPD8_lumA
ZNF33A_M08263_2.00	chr22:20956759-20956781	S6R691V_her2
ZNF33A_M08263_2.00	chr19:18318059-18318081	S6R691V_her2
ZNF33A_M08263_2.00	chr1:1360292-1360314	98JKPD8_lumA
