motif_id	region_id	sample_id
ATOH1_ATOH1_HUMAN.H11MO.0.B	chr15:99733406-99733415	ANAB5F7_basal
ATOH1_ATOH1_HUMAN.H11MO.0.B	chr1:175197656-175197665	ANAB5F7_basal
ATOH1_ATOH1_HUMAN.H11MO.0.B	chr15:99057793-99057802	ANAB5F7_basal
ATOH1_ATOH1_HUMAN.H11MO.0.B	chr1:46517188-46517197	98JKPD8_lumA
ATOH1_ATOH1_HUMAN.H11MO.0.B	chr5:178078012-178078021	98JKPD8_lumA
ATOH1_ATOH1_HUMAN.H11MO.0.B	chr22:36481991-36482000	98JKPD8_lumA
ATOH1_ATOH1_HUMAN.H11MO.0.B	chr11:2912372-2912381	S6R691V_her2
ATOH1_ATOH1_HUMAN.H11MO.0.B	chr12:132429101-132429110	ANAB5F7_basal
ATOH1_ATOH1_HUMAN.H11MO.0.B	chr3:111967884-111967893	ANAB5F7_basal
ATOH1_ATOH1_HUMAN.H11MO.0.B	chr1:18132901-18132910	98JKPD8_lumA
